Id,Quartier,Latitude,Longitude,Type_chambre,Prix,Minimum_nuit,Avis_par_mois,Nombre_list_hote,Depart_Brooklyn,Depart_Manhattan,Depart_Queens,Depart_Staten Island,Depart_Bronx,Disponabilitie_365_scale,Nombre_avis_scale
2539,109,40.647490000000005,-73.97237,2,149,1,0.21,6,0,1,0,0,0,2.77,0.2
2595,128,40.75362,-73.98376999999999,1,225,1,0.38,2,0,0,1,0,0,2.7,1.01
3647,95,40.809020000000004,-73.9419,2,150,3,0.0,1,0,0,1,0,0,2.77,0.0
3831,42,40.685140000000004,-73.95976,1,89,1,4.64,1,0,1,0,0,0,1.47,6.06
5022,62,40.79851,-73.94399,1,80,10,0.1,1,0,0,1,0,0,0.0,0.2
5099,138,40.74767,-73.975,1,200,3,0.59,1,0,0,1,0,0,0.98,1.66
5121,14,40.68688,-73.95596,2,60,45,0.4,1,0,1,0,0,0,0.0,1.1
5178,96,40.76489,-73.98493,2,79,2,3.47,1,0,0,1,0,0,1.67,9.65
5203,203,40.80178,-73.96723,2,79,2,0.99,1,0,0,1,0,0,0.0,2.65
5238,36,40.713440000000006,-73.99037,1,150,1,1.33,4,0,0,1,0,0,1.43,3.59
5295,203,40.80316,-73.96545,1,135,5,0.43,1,0,0,1,0,0,0.05,1.19
5441,96,40.76076,-73.98867,2,85,2,1.5,1,0,0,1,0,0,0.3,4.22
5803,183,40.66829,-73.98779,2,89,4,1.34,3,0,1,0,0,0,2.39,3.75
6021,203,40.79826,-73.96113000000001,2,85,2,0.91,1,0,0,1,0,0,2.53,2.54
6090,210,40.7353,-74.00525,1,120,90,0.22,1,0,0,1,0,0,0.0,0.61
6848,215,40.70837,-73.95352,1,140,2,1.2,1,0,1,0,0,0,0.35,3.32
7097,81,40.69169,-73.97185,1,215,2,1.72,1,0,1,0,0,0,2.44,4.44
7322,35,40.74192,-73.99501,2,140,1,2.12,1,0,0,1,0,0,0.09,5.84
7726,52,40.67592,-73.94694,1,99,3,4.44,1,0,1,0,0,0,0.16,1.19
7750,62,40.79685,-73.94872,1,190,7,0.0,2,0,0,1,0,0,1.89,0.0
7801,215,40.71842,-73.95718000000001,1,299,3,0.07,1,0,1,0,0,0,0.0,0.2
8024,152,40.680690000000006,-73.97706,2,130,2,1.09,6,0,1,0,0,0,2.64,2.92
8025,152,40.67989,-73.97798,2,80,1,0.37,6,0,1,0,0,0,2.77,0.88
8110,152,40.680009999999996,-73.97865,2,110,2,0.61,6,0,1,0,0,0,2.31,1.59
8490,14,40.68371,-73.94028,1,120,2,0.73,2,0,1,0,0,0,1.77,1.98
8505,217,40.65599,-73.97519,2,60,1,1.37,2,0,1,0,0,0,0.65,0.43
8700,104,40.867540000000005,-73.92639,2,80,4,0.0,1,0,0,1,0,0,0.0,0.0
9357,96,40.76715,-73.98533,1,150,10,0.49,1,0,0,1,0,0,0.57,1.3
9518,104,40.86482,-73.92106,2,44,3,1.11,3,0,0,1,0,0,2.36,2.42
9657,65,40.7292,-73.98541999999999,1,180,14,0.24,1,0,0,1,0,0,0.51,0.65
9668,95,40.82245,-73.95104,2,50,3,2.04,3,0,0,1,0,0,2.7,5.43
9704,95,40.81305,-73.95466,2,52,2,1.42,1,0,0,1,0,0,1.94,1.98
9782,92,40.722190000000005,-73.93762,2,55,4,1.65,3,0,1,0,0,0,2.16,4.42
9783,95,40.8213,-73.95318,2,50,3,2.37,3,0,0,1,0,0,2.73,6.13
10452,14,40.6831,-73.95473,2,70,1,0.66,2,0,1,0,0,0,2.04,1.66
10962,183,40.668690000000005,-73.9878,2,89,4,1.41,3,0,1,0,0,0,2.58,3.77
11452,14,40.688759999999995,-73.94312,2,35,60,0.0,1,0,1,0,0,0,2.77,0.0
11708,29,40.701859999999996,-73.92745,1,85,2,1.96,2,0,1,0,0,0,0.17,5.19
11943,75,40.63702,-73.96327,2,150,1,0.0,1,0,1,0,0,0,2.77,0.0
12048,120,40.714009999999995,-73.98917,3,40,1,1.81,4,0,0,1,0,0,1.43,4.8
12192,65,40.7229,-73.98199,2,68,2,2.08,2,0,0,1,0,0,0.73,5.5
12299,183,40.66278,-73.97966,1,120,3,0.39,1,0,1,0,0,0,2.62,0.34
12303,81,40.69673,-73.97584,2,120,7,0.23,1,0,1,0,0,0,2.36,0.56
12318,203,40.79009,-73.97927,2,135,4,0.69,1,0,0,1,0,0,2.07,1.82
12343,95,40.81175,-73.94478000000001,1,150,7,0.84,1,0,0,1,0,0,2.35,2.18
12627,160,40.659440000000004,-73.96238000000001,1,150,29,0.49,1,0,1,0,0,0,0.72,0.25
12937,118,40.74771,-73.9474,2,130,3,2.25,1,0,0,0,1,0,1.63,5.57
12940,14,40.68111,-73.95591,1,110,7,0.52,1,0,1,0,0,0,2.01,1.37
13050,14,40.68554,-73.9409,1,115,3,0.1,1,0,1,0,0,0,0.0,0.25
13394,81,40.69142,-73.97376,2,80,3,1.16,2,0,1,0,0,0,1.46,3.03
13808,14,40.68043,-73.93934,2,80,1,1.01,3,0,1,0,0,0,1.91,2.51
14287,203,40.78635,-73.97008000000001,1,151,2,0.63,1,0,0,1,0,0,2.29,1.64
14290,215,40.7042,-73.9356,1,228,3,0.7,1,0,1,0,0,0,1.06,1.84
14314,92,40.73506,-73.95392,1,144,2,2.82,1,0,1,0,0,0,1.78,7.36
14322,113,40.73961,-73.98074,1,200,7,0.22,1,0,0,1,0,0,1.95,0.43
14377,215,40.70881,-73.9593,1,150,30,0.9,1,0,1,0,0,0,0.23,2.36
14991,120,40.720040000000004,-73.99104,2,110,5,0.17,1,0,0,1,0,0,2.29,0.43
15220,96,40.755309999999994,-73.99293,2,69,2,2.49,2,0,0,1,0,0,2.23,6.49
15338,92,40.72401,-73.93788,2,49,4,1.19,3,0,1,0,0,0,2.43,3.1
15341,179,40.7221,-73.99775,1,180,30,0.3,1,0,0,1,0,0,1.17,0.47
15385,215,40.71185,-73.96204,2,80,2,0.38,1,0,1,0,0,0,2.0,0.94
15396,35,40.74623,-73.9953,1,375,180,0.12,1,0,0,1,0,0,1.37,0.11
15711,202,40.77065,-73.95269,1,250,2,0.57,2,0,0,1,0,0,1.76,1.48
16326,159,40.67811,-73.96428,1,200,30,1.33,2,0,1,0,0,0,2.26,3.21
