Id,Departement,Quartier,Latitude,Longitude,Type_chambre,Prix,Minimum_nuit,Avis_par_mois,Nombre_list_hote,Disponabilitie_365_scale,Nombre_avis_scale
2539,2,109,40.647490000000005,-73.97237,2,149,1,0.21,6,2.77,0.2
2595,3,128,40.75362,-73.98376999999999,1,225,1,0.38,2,2.7,1.01
3647,3,95,40.809020000000004,-73.9419,2,150,3,0.0,1,2.77,0.0
3831,2,42,40.685140000000004,-73.95976,1,89,1,4.64,1,1.47,6.06
5022,3,62,40.79851,-73.94399,1,80,10,0.1,1,0.0,0.2
5099,3,138,40.74767,-73.975,1,200,3,0.59,1,0.98,1.66
5121,2,14,40.68688,-73.95596,2,60,45,0.4,1,0.0,1.1
5178,3,96,40.76489,-73.98493,2,79,2,3.47,1,1.67,9.65
5203,3,203,40.80178,-73.96723,2,79,2,0.99,1,0.0,2.65
5238,3,36,40.713440000000006,-73.99037,1,150,1,1.33,4,1.43,3.59
5295,3,203,40.80316,-73.96545,1,135,5,0.43,1,0.05,1.19
5441,3,96,40.76076,-73.98867,2,85,2,1.5,1,0.3,4.22
5803,2,183,40.66829,-73.98779,2,89,4,1.34,3,2.39,3.75
6021,3,203,40.79826,-73.96113000000001,2,85,2,0.91,1,2.53,2.54
6090,3,210,40.7353,-74.00525,1,120,90,0.22,1,0.0,0.61
6848,2,215,40.70837,-73.95352,1,140,2,1.2,1,0.35,3.32
7097,2,81,40.69169,-73.97185,1,215,2,1.72,1,2.44,4.44
7322,3,35,40.74192,-73.99501,2,140,1,2.12,1,0.09,5.84
7726,2,52,40.67592,-73.94694,1,99,3,4.44,1,0.16,1.19
7750,3,62,40.79685,-73.94872,1,190,7,0.0,2,1.89,0.0
7801,2,215,40.71842,-73.95718000000001,1,299,3,0.07,1,0.0,0.2
8024,2,152,40.680690000000006,-73.97706,2,130,2,1.09,6,2.64,2.92
8025,2,152,40.67989,-73.97798,2,80,1,0.37,6,2.77,0.88
8110,2,152,40.680009999999996,-73.97865,2,110,2,0.61,6,2.31,1.59
8490,2,14,40.68371,-73.94028,1,120,2,0.73,2,1.77,1.98
8505,2,217,40.65599,-73.97519,2,60,1,1.37,2,0.65,0.43
8700,3,104,40.867540000000005,-73.92639,2,80,4,0.0,1,0.0,0.0
9357,3,96,40.76715,-73.98533,1,150,10,0.49,1,0.57,1.3
9518,3,104,40.86482,-73.92106,2,44,3,1.11,3,2.36,2.42
9657,3,65,40.7292,-73.98541999999999,1,180,14,0.24,1,0.51,0.65
9668,3,95,40.82245,-73.95104,2,50,3,2.04,3,2.7,5.43
9704,3,95,40.81305,-73.95466,2,52,2,1.42,1,1.94,1.98
9782,2,92,40.722190000000005,-73.93762,2,55,4,1.65,3,2.16,4.42
9783,3,95,40.8213,-73.95318,2,50,3,2.37,3,2.73,6.13
10452,2,14,40.6831,-73.95473,2,70,1,0.66,2,2.04,1.66
10962,2,183,40.668690000000005,-73.9878,2,89,4,1.41,3,2.58,3.77
11452,2,14,40.688759999999995,-73.94312,2,35,60,0.0,1,2.77,0.0
11708,2,29,40.701859999999996,-73.92745,1,85,2,1.96,2,0.17,5.19
11943,2,75,40.63702,-73.96327,2,150,1,0.0,1,2.77,0.0
12048,3,120,40.714009999999995,-73.98917,3,40,1,1.81,4,1.43,4.8
12192,3,65,40.7229,-73.98199,2,68,2,2.08,2,0.73,5.5
12299,2,183,40.66278,-73.97966,1,120,3,0.39,1,2.62,0.34
12303,2,81,40.69673,-73.97584,2,120,7,0.23,1,2.36,0.56
12318,3,203,40.79009,-73.97927,2,135,4,0.69,1,2.07,1.82
12343,3,95,40.81175,-73.94478000000001,1,150,7,0.84,1,2.35,2.18
12627,2,160,40.659440000000004,-73.96238000000001,1,150,29,0.49,1,0.72,0.25
12937,4,118,40.74771,-73.9474,2,130,3,2.25,1,1.63,5.57
12940,2,14,40.68111,-73.95591,1,110,7,0.52,1,2.01,1.37
13050,2,14,40.68554,-73.9409,1,115,3,0.1,1,0.0,0.25
13394,2,81,40.69142,-73.97376,2,80,3,1.16,2,1.46,3.03
13808,2,14,40.68043,-73.93934,2,80,1,1.01,3,1.91,2.51
14287,3,203,40.78635,-73.97008000000001,1,151,2,0.63,1,2.29,1.64
14290,2,215,40.7042,-73.9356,1,228,3,0.7,1,1.06,1.84
14314,2,92,40.73506,-73.95392,1,144,2,2.82,1,1.78,7.36
14322,3,113,40.73961,-73.98074,1,200,7,0.22,1,1.95,0.43
14377,2,215,40.70881,-73.9593,1,150,30,0.9,1,0.23,2.36
14991,3,120,40.720040000000004,-73.99104,2,110,5,0.17,1,2.29,0.43
15220,3,96,40.755309999999994,-73.99293,2,69,2,2.49,2,2.23,6.49
15338,2,92,40.72401,-73.93788,2,49,4,1.19,3,2.43,3.1
15341,3,179,40.7221,-73.99775,1,180,30,0.3,1,1.17,0.47
15385,2,215,40.71185,-73.96204,2,80,2,0.38,1,2.0,0.94
15396,3,35,40.74623,-73.9953,1,375,180,0.12,1,1.37,0.11
15711,3,202,40.77065,-73.95269,1,250,2,0.57,2,1.76,1.48
16326,2,159,40.67811,-73.96428,1,200,30,1.33,2,2.26,3.21
16338,2,42,40.69,-73.96788000000001,2,55,7,0.23,2,2.22,0.61
16421,3,96,40.75979,-73.99119,2,52,30,1.65,1,1.45,4.29
16458,2,152,40.673429999999996,-73.98338000000001,1,225,3,0.16,1,0.0,0.09
16580,3,65,40.726490000000005,-73.97904,2,80,1,4.72,2,0.55,7.59
16595,2,215,40.70933,-73.96791999999999,1,275,1,1.4,1,2.75,3.32
16821,3,65,40.72298,-73.98474,2,99,1,1.26,2,2.55,2.38
16974,3,62,40.80164,-73.93921999999999,1,225,4,1.64,1,1.63,4.26
17037,3,65,40.72162,-73.98008,1,230,9,0.43,1,0.88,1.1
17092,3,96,40.76342,-73.98865,2,51,7,0.43,1,0.67,0.52
17693,3,207,40.83139,-73.94095,2,65,2,1.6,2,2.55,1.1
17747,2,42,40.68346,-73.96374,2,105,2,0.92,1,2.31,2.36
18127,3,65,40.72828,-73.98801,1,190,5,0.2,1,1.7,0.47
18152,3,202,40.76865,-73.95058,2,200,1,1.5,1,2.45,3.19
18198,4,221,40.75038,-73.90334,2,70,30,0.22,1,2.46,0.56
18590,2,81,40.6932,-73.97267,2,95,3,1.28,1,1.0,3.21
18728,3,35,40.74138,-74.00197,2,150,3,1.65,1,2.24,3.75
18764,2,215,40.71154,-73.96112,2,145,3,0.54,4,1.81,1.37
19159,3,95,40.82915,-73.95136,1,110,31,0.49,1,1.59,1.21
19169,3,120,40.718509999999995,-73.98892,1,285,5,0.62,1,2.49,1.57
19282,2,75,40.65401,-73.96323000000001,1,130,6,0.15,1,0.29,0.36
19319,3,120,40.7114,-73.98794000000001,2,94,30,0.84,1,1.43,2.11
19601,2,26,40.69723,-73.99268000000001,1,800,1,0.24,1,0.05,0.56
19812,2,215,40.71833,-73.95748,1,105,3,0.53,1,2.07,1.37
20299,3,65,40.72334,-73.9844,2,60,3,1.73,1,0.2,4.35
20300,3,65,40.72912,-73.98057,2,50,1,0.05,1,0.0,0.04
20611,2,215,40.71156,-73.96218,2,85,3,1.54,4,2.19,3.91
20724,2,29,40.70032,-73.9383,2,65,4,0.28,1,2.41,0.54
20734,2,159,40.68233,-73.97261,1,131,4,3.4,1,1.57,3.73
20755,2,42,40.68634,-73.96600000000001,2,98,7,0.2,6,1.41,0.36
20853,2,159,40.68035,-73.97162,1,250,7,0.3,1,1.2,0.47
20913,2,215,40.70984,-73.95775,1,100,5,1.57,1,0.0,3.77
21293,2,29,40.70093,-73.92609,1,105,3,1.05,2,0.07,2.65
21456,3,203,40.79764,-73.96177,1,140,3,0.71,1,1.5,1.82
21644,3,95,40.82803,-73.94731,2,89,1,0.11,1,2.77,0.02
21794,3,35,40.74008,-74.00271,2,98,30,0.27,2,2.77,0.67
22911,2,14,40.684129999999996,-73.92357,1,125,7,1.23,2,2.36,3.12
22918,3,95,40.822790000000005,-73.95139,2,60,3,0.87,3,1.66,0.25
23135,2,32,40.67967,-74.00154,1,175,2,2.09,3,2.6,5.23
23501,3,207,40.83927,-73.94281,2,65,2,0.6,1,2.37,1.53
23686,3,210,40.730959999999996,-74.00319,1,500,4,0.55,2,1.85,1.03
24143,2,215,40.71332,-73.94176999999999,2,101,3,3.02,1,1.15,7.52
24285,2,152,40.66941,-73.98109000000001,1,220,30,0.79,1,0.07,1.98
25235,2,14,40.68373,-73.92376999999999,1,125,90,1.46,2,1.04,3.64
25406,2,215,40.71459,-73.94844,1,80,30,0.4,1,1.69,0.65
25696,3,95,40.8092,-73.94421,2,100,2,1.61,1,2.63,3.82
26012,2,86,40.68157,-73.98989,1,200,30,0.2,1,1.58,0.43
26362,3,96,40.75527,-73.99291,2,59,2,3.0,2,2.12,7.5
26520,2,42,40.68698,-73.96571999999999,2,125,2,0.2,6,1.9,0.43
26559,3,65,40.7288,-73.98192,1,140,7,0.13,1,1.25,0.27
26785,2,183,40.66853,-73.98912,1,120,30,4.22,2,1.46,10.48
26933,3,65,40.7254,-73.98156999999999,1,350,2,0.06,4,2.26,0.16
26954,3,113,40.742940000000004,-73.98009,1,199,5,0.38,1,1.98,0.85
26969,2,215,40.71942,-73.95748,1,325,3,3.01,1,0.81,7.27
